,shot_id,event_type,team_id,player_id,player_name,shot_x,shot_y,min,min_added,is_blocked,is_on_target,blocked_x,blocked_y,goal_crossed_y,goal_crossed_z,xG,xGOT,shot_type,situation,period,is_own_goal,on_goal_x,on_goal_y,short_name
584,2450007845,AttemptSaved,10260,751550,Diogo Dalot,74.82669559426887,14.400509287128216,61,,True,True,96.1228070165,29.211428570000002,36.05875,1.2199999940000001,0.008011281490325928,,RightFoot,RegularPlay,SecondHalf,False,20.49107142857139,14.239028874883287,
585,2450007857,AttemptSaved,10260,422685,Bruno Fernandes,95.6403479313214,29.127382233464893,61,,False,True,101.1120689658,31.78875,34.22875,1.8299999910000002,0.35052013397216797,0.35,RightFoot,RegularPlay,SecondHalf,False,42.27678571428574,21.35854331232493,
586,2450009049,AttemptSaved,8650,359188,Fabinho,99.2105277880393,39.713093956535104,67,,False,True,103.9568965518,35.90625,35.29625000000001,0.5714736814000001,0.06355348229408264,0.0527,Header,FromCorner,SecondHalf,False,29.56845238095229,6.669860894024277,
587,2450011327,Miss,10260,696365,Marcus Rashford,91.30000305175781,44.0708280208,76,,False,False,,,30.34,3.3768275888,0.04501157999038696,,RightFoot,RegularPlay,SecondHalf,False,102.92972603080355,39.41208670401494,
588,2450011497,AttemptSaved,8650,963965,Fabio Carvalho,94.6754356503214,33.77125058174133,77,,True,True,95.8333333322,33.695,33.39,1.2199999940000001,0.0932144820690155,,RightFoot,RegularPlay,SecondHalf,False,52.26190476190475,14.239028874883287,
589,2450012035,AttemptSaved,8650,242709,Roberto Firmino,95.06140203506071,36.82125058174134,79,,False,True,104.4310344828,34.533750000000005,31.1025,1.8299999910000002,0.04038643836975098,0.5053,Header,FromCorner,SecondHalf,False,79.49404761904762,21.35854331232493,
590,2450012833,AttemptSaved,8650,963965,Fabio Carvalho,94.6754356503214,25.01343661785126,81,,False,True,103.8620689656,32.474999999999994,33.61875,0.0834736838,0.08534526824951172,0.0343,RightFoot,FromCorner,SecondHalf,False,49.538690476190496,0.9742493440709616,
591,2450012859,Goal,8650,292462,Mohamed Salah,99.97413503749173,28.959286354232447,81,,False,True,,,30.797499999999996,0.2439999988,0.09186175465583801,0.3149,Header,FromCorner,SecondHalf,False,83.125,2.847805774976657,
592,2450013289,Miss,10260,157723,Christian Eriksen,86.03087907624823,25.30249911785126,83,,False,False,,,33.31375,4.2197241432000006,0.01645594835281372,,LeftFoot,RegularPlay,SecondHalf,False,82.34448131183038,49.24981492997199,
593,2450013783,Miss,8650,760712,Trent Alexander-Arnold,78.09271672953443,43.44025370301287,85,,False,False,,,41.425625,0.1797894728,0.019970446825027466,,RightFoot,FromCorner,SecondHalf,False,0.0,2.0983832026143783,
594,2450015173,Miss,10260,30893,Cristiano Ronaldo,86.56764378224823,46.803313167587135,90,1.0,False,False,,,41.057857143,5.1842758704000005,0.012090712785720825,,LeftFoot,RegularPlay,SecondHalf,False,7.107740439136916,60.50742145658263,
595,2449272549,Miss,8455,246575,Raheem Sterling,90.5999984741211,38.70452509346489,1,,False,False,,,29.379523808000002,0.9824210478000001,0.05248314142227173,,RightFoot,RegularPlay,FirstHalf,False,110.01133790476186,11.466165357142856,
596,2449275367,Miss,8463,717176,Daniel James,86.78235457887588,52.68866455787426,4,,False,False,,,30.316,6.513793116,0.02497011423110962,,RightFoot,RegularPlay,FirstHalf,False,158.35741247433035,76.02466288515406,
597,2449276099,AttemptSaved,8463,751649,Jack Harrison,95.6403479313214,47.64407536101287,4,,False,True,104.4310344828,35.6775,35.220000000000006,1.5859999922,0.05156278610229492,0.0762,RightFoot,RegularPlay,FirstHalf,False,30.476190476190403,18.51073753734827,
598,2449276625,AttemptSaved,8455,604982,Ruben Loftus-Cheek,98.6315818917786,25.360312941074373,5,,True,True,99.3070175438,26.2853125,37.50750000000001,1.2199999940000001,0.16946512460708618,,RightFoot,RegularPlay,FirstHalf,False,3.2440476190475342,14.239028874883287,
599,2449293801,Miss,8463,193869,Rodrigo,91.0999984741211,50.30649788258714,20,,False,False,,,25.649375000000003,0.7127368386,0.07028394937515259,,LeftFoot,RegularPlay,FirstHalf,False,198.82440476190462,8.31859055322129,
600,2449295399,AttemptSaved,8455,750032,Mason Mount,90.5,30.316,21,,False,True,103.19827586219999,33.00875,31.559999999999995,0.0385263156,0.09541094303131104,0.2624,LeftFoot,RegularPlay,FirstHalf,False,74.04761904761911,0.4496535434173669,
601,2449301731,Miss,8463,420568,Diego Llorente,95.3508786640393,35.143750000000004,29,,False,False,,,36.8975,3.9764137976,0.05406978726387024,,Header,FromCorner,FirstHalf,False,35.40385116688987,46.41005832866479,
602,2449303259,AttemptSaved,8463,193869,Rodrigo,90.0,51.00713482558713,32,,False,True,102.25000000019999,37.672,36.51625,0.3274736826,0.05927467346191406,0.1653,LeftFoot,FastBreak,FirstHalf,False,15.044642857142863,3.8220551190476177,
603,2449304465,Goal,8463,952322,Brenden Aaronson,104.33620979050826,35.98249883651734,33,,False,True,,,35.220000000000006,0.1219999994,0.9725340604782104,0.9851,RightFoot,RegularPlay,FirstHalf,False,30.476190476190403,1.4239028874883286,
604,2449307397,Goal,8463,193869,Rodrigo,97.3771929818,39.376905404232446,37,,False,True,,,31.4075,1.0145263108,0.0705065131187439,0.356,Header,SetPiece,FirstHalf,False,75.86309523809526,11.840876643323995,
