,playerId,playerName,teamId,minutes,touches,teamName
89,27659,Salvatore Sirigu,10233,3330,1364.0,Genoa
90,281762,Pietro Terracciano,8535,2860,1674.0,Fiorentina
91,282012,Dennis Praet,9804,1543,770.0,Torino
92,282706,Alessio Cragno,8529,3150,1397.0,Cagliari
93,282731,Mario Rui,9875,3000,2855.0,Napoli
94,288613,Mattia De Sciglio,9885,1165,820.0,Juventus
95,291655,Norbert Gyömbér,6480,2566,1402.0,Salernitana
96,293160,Elseid Hysaj,8543,2031,1657.0,Lazio
97,299799,Bryan Cristante,8686,2673,2187.0,Roma
98,299886,Kevin Lasagna,9876,1171,491.0,Hellas Verona
99,299981,Pablo Mari,8600,1342,797.0,Udinese
100,303155,Koffi Djidji,9804,1735,1100.0,Torino
101,304733,Hakan Calhanoglu,8636,2509,2160.0,Inter
102,30660,Pepe Reina,8543,1350,581.0,Lazio
103,307235,Marko Pjaca,9804,1145,617.0,Torino
104,308517,Stanislav Lobotka,9875,1686,1607.0,Napoli
105,30924,Franck Ribéry,6480,1426,980.0,Salernitana
106,309328,Milan Skriniar,8636,3150,2473.0,Inter
107,309726,Andrea Belotti,9804,1377,637.0,Torino
108,311016,Petar Stojanovic,8534,2739,2234.0,Empoli
109,317156,Alfred Duncan,8535,1931,1157.0,Fiorentina
110,319631,Joaquin Correa,8636,1024,539.0,Inter
111,325916,Paulo Dybala,9885,2072,1590.0,Juventus
112,331534,Koray Günter,9876,2413,1611.0,Hellas Verona
113,340790,Domen Crnigoj,7881,1886,996.0,Venezia
114,352879,Adrien Rabiot,9885,2292,1445.0,Juventus
115,35724,Zlatan Ibrahimovic,8564,1008,564.0,Milan
116,357881,Adama Soumaoro,9857,2267,1294.0,Bologna
117,358149, Patric,8543,1652,1591.0,Lazio
118,362120,Danilo Cataldi,8543,1710,1593.0,Lazio
119,362195,Alessio Romagnoli,8564,1407,1169.0,Milan
120,362212,Piotr Zielinski,9875,2098,1403.0,Napoli
121,364520,Domenico Berardi,7943,2835,1974.0,Sassuolo
122,364822,Ivan Provedel,9881,2762,1394.0,Spezia
123,389050,Juan Musso,8524,2932,1098.0,Atalanta
124,39170,Andrea Consigli,7943,3322,1648.0,Sassuolo
125,39540,Fabio Quagliarella,9882,1658,724.0,Sampdoria
126,395914,Charalambos Lykogiannis,8529,1821,1042.0,Cagliari
127,403049,Thomas Strakosha,8543,2070,825.0,Lazio
128,40604,Rui Patricio,8686,3420,1226.0,Roma
129,40608,Miguel Veloso,9876,1344,1070.0,Hellas Verona
130,406505,Pawel Dawidowicz,9876,1194,779.0,Hellas Verona
131,40930,Adrien Silva,9882,1086,789.0,Sampdoria
132,414232,Ridgeciano Haps,7881,2061,1178.0,Venezia
133,414245,Federico Bernardeschi,9885,1480,851.0,Juventus
134,414854,Riccardo Gagliolo,6480,1135,681.0,Salernitana
135,414906,Giovanni Di Lorenzo,9875,2873,2688.0,Napoli
136,415017,Mattia Bani,10233,1211,670.0,Genoa
137,415539,Matteo Politano,9875,1657,1046.0,Napoli
138,41882,Domenico Criscito,10233,1622,1275.0,Genoa
139,41884,Giorgio Chiellini,9885,1352,1141.0,Juventus
140,42422,Samir Handanovic,8636,3330,1405.0,Inter
141,424614,Caleb Ekuban,10233,1717,775.0,Genoa
142,426393,Adrien Tamèze,9876,2576,1757.0,Hellas Verona
143,438456,Rade Krunic,8564,1411,767.0,Milan
144,438507,Federico Di Francesco,8534,1376,621.0,Empoli
145,439148,Morten Thorsby,9882,2952,1422.0,Sampdoria
146,440369,Omar Colley,9882,2748,1847.0,Sampdoria
147,441164,Kaan Ayhan,7943,1344,1012.0,Sassuolo
148,443966,Jeremy Toljan,7943,1399,1000.0,Sassuolo
149,446266,Mario Pasalic,8524,2005,1312.0,Atalanta
150,447488,Alex Ferrari,9882,1650,1078.0,Sampdoria
151,449283,Alessandro Deiola,8529,2143,1079.0,Cagliari
152,451966,Antonin Barak,9876,2347,1478.0,Hellas Verona
153,453324, Samir,8600,1426,911.0,Udinese
154,45836,Niki Mäenpää,7881,1485,613.0,Venezia
155,459658,Ruslan Malinovsky,8524,1599,1296.0,Atalanta
156,46104,Dries Mertens,9875,1386,731.0,Napoli
157,463301,Sergej Milinkovic-Savic,8543,3111,3006.0,Lazio
158,46469,Olivier Giroud,8564,1902,741.0,Milan
159,466439,Mike Maignan,8564,2880,1299.0,Milan
160,46820,Matteo Darmian,8636,1507,838.0,Inter
161,469615,Giovanni Simeone,9876,2667,1263.0,Hellas Verona
162,469939,Liam Henderson,8534,2019,1066.0,Empoli
163,470847,Ignacio Pussetto,8600,1199,574.0,Udinese
164,474448,Antonio Sanabria,9804,1814,788.0,Torino
165,478447,Adam Marusic,8543,2720,2186.0,Lazio
166,480014,Pietro Ceccaroni,7881,3122,2118.0,Venezia
167,485047,Hans Hateboer,8524,1389,998.0,Atalanta
168,488958,Keita Baldé,8529,1233,458.0,Cagliari
169,491784,Lorenzo Montipo,9876,3060,1133.0,Hellas Verona
170,498247,Mattia Aramu,7881,2111,1166.0,Venezia
171,49970,Gary Medel,9857,2830,2011.0,Bologna
172,50065,David Ospina,9875,2790,1117.0,Napoli
173,501570,Mattia Caldara,7881,2703,1577.0,Venezia
174,506309,Gian Marco Ferrari,7943,3127,2625.0,Sassuolo
175,518633,Giorgos Kyriakopoulos,7943,1971,1614.0,Sassuolo
176,519192,Lorenzo Venuti,8535,1577,1214.0,Fiorentina
177,521210,Hirving Lozano,9875,1621,912.0,Napoli
178,521838,Simone Bastoni,9881,2289,1680.0,Spezia
179,521902,Kevin Bonifazi,9857,1209,880.0,Bologna
180,522083,Pablo Galdames,10233,1030,605.0,Genoa
181,52243,Tomas Rincon,9882,1126,694.0,Sampdoria
182,522750, Dalbert,8529,2093,1172.0,Cagliari
183,526450,Emmanuel Quartsin Gyasi,9881,3044,1411.0,Spezia
184,538501,Guglielmo Vicario,8534,3420,1566.0,Empoli
185,538540, Walace,8600,2970,2170.0,Udinese
186,540307,Lorenzo Pellegrini,8686,2298,1600.0,Roma
187,541555,Mattia Zaccagni,8543,1879,1118.0,Lazio
188,541820,Nicolo Barella,8636,2931,2343.0,Inter
189,543021,Vanja Milinkovic-Savic,9804,2430,1121.0,Torino
190,543306,Federico Bonazzoli,6480,1866,875.0,Salernitana
191,544693,Amir Rrahmani,9875,2928,2280.0,Napoli
