,season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
2981,2022,2022-08-20,1845,German Bundesliga,Bayer Leverkusen,TSG Hoffenheim,77.22,65.52,0.6041,0.1804,0.2155,2.11,1.07,56.2,31.2,0.0,3.0,1.15,1.14,1.6,1.65,0.0,2.95
2982,2022,2022-08-20,1845,German Bundesliga,VfB Stuttgart,SC Freiburg,65.19,69.74,0.3812,0.3526,0.2661,1.44,1.37,25.9,41.8,0.0,1.0,0.97,0.87,2.31,0.66,0.0,1.05
2983,2022,2022-08-20,1845,German Bundesliga,VfL Wolfsburg,Schalke 04,67.61,58.53,0.5311,0.2065,0.2624,1.62,0.9,26.3,34.6,0.0,0.0,1.42,1.13,2.52,0.39,0.0,0.0
2994,2022,2022-08-20,2411,Barclays Premier League,Fulham,Brentford,60.92,70.23,0.3383,0.3951,0.2666,1.2,1.32,37.0,22.8,3.0,2.0,2.61,1.59,1.44,1.67,3.15,2.1
2995,2022,2022-08-20,2411,Barclays Premier League,Everton,Nottingham Forest,63.52,56.06,0.5138,0.2311,0.2551,1.54,0.94,40.3,44.0,1.0,1.0,1.51,1.02,1.05,0.63,1.05,1.05
2997,2022,2022-08-20,2411,Barclays Premier League,Crystal Palace,Aston Villa,71.02,73.56,0.3844,0.3461,0.2696,1.28,1.2,19.0,31.2,3.0,1.0,3.31,0.96,1.44,0.92,3.13,1.05
3005,2022,2022-08-20,2411,Barclays Premier League,Leicester City,Southampton,69.64,60.47,0.5274,0.2426,0.23,1.8,1.15,20.7,33.6,1.0,2.0,0.25,1.53,0.81,1.51,1.05,2.1
3029,2022,2022-08-20,1843,French Ligue 1,AS Monaco,Lens,72.84,66.1,0.5524,0.2142,0.2334,1.84,1.06,62.6,38.5,1.0,4.0,2.58,2.29,1.8,1.04,1.05,3.84
3032,2022,2022-08-20,1869,Spanish Primera Division,Osasuna,Cadiz,64.11,61.47,0.4575,0.2568,0.2856,1.42,0.99,26.2,32.0,2.0,0.0,3.03,1.04,1.81,0.43,1.7,0.0
3040,2022,2022-08-20,1854,Italy Serie A,Torino,Lazio,63.47,69.11,0.3381,0.3936,0.2683,1.28,1.4,30.1,50.4,0.0,0.0,0.93,0.77,0.84,1.16,0.0,0.0
3041,2022,2022-08-20,2411,Barclays Premier League,AFC Bournemouth,Arsenal,58.42,79.94,0.1899,0.5812,0.2289,0.92,1.79,37.5,58.3,0.0,3.0,0.22,1.76,1.02,1.36,0.0,3.15
3042,2022,2022-08-20,1845,German Bundesliga,1. FC Union Berlin,RB Leipzig,71.14,79.96,0.3187,0.4039,0.2774,1.2,1.39,49.3,64.4,2.0,1.0,0.63,1.08,0.4,1.66,2.1,1.05
3043,2022,2022-08-20,1854,Italy Serie A,Udinese,Salernitana,58.18,46.01,0.5375,0.2187,0.2437,1.76,1.03,26.5,43.0,0.0,0.0,1.37,1.8,1.83,1.24,0.0,0.0
3059,2022,2022-08-20,1869,Spanish Primera Division,Mallorca,Real Betis,57.61,72.24,0.2885,0.4354,0.2761,1.15,1.47,38.2,41.4,1.0,2.0,1.43,2.25,0.87,0.59,1.05,2.1
3064,2022,2022-08-20,1854,Italy Serie A,Sassuolo,Lecce,59.94,50.37,0.5239,0.2328,0.2434,1.76,1.1,20.8,36.8,1.0,0.0,0.83,0.78,1.08,0.93,1.05,0.0
3069,2022,2022-08-20,1854,Italy Serie A,Internazionale,Spezia,82.19,48.28,0.8211,0.0516,0.1272,2.68,0.54,75.8,29.1,3.0,0.0,2.6,0.47,2.4,0.68,2.86,0.0
3071,2022,2022-08-20,1843,French Ligue 1,Marseille,Nantes,68.97,58.15,0.5797,0.1845,0.2358,1.79,0.9,42.5,25.2,2.0,1.0,1.5,2.37,1.68,1.2,2.1,0.84
3075,2022,2022-08-20,1869,Spanish Primera Division,Celta Vigo,Real Madrid,68.19,86.5,0.1894,0.5899,0.2207,1.11,2.1,29.9,74.2,1.0,4.0,1.35,3.56,1.52,0.69,1.05,4.2
3110,2022,2022-08-21,1843,French Ligue 1,Strasbourg,Reims,67.16,56.12,0.5587,0.1961,0.2452,1.7,0.9,29.5,35.6,1.0,1.0,1.19,2.05,1.44,1.46,1.05,1.05
3119,2022,2022-08-21,1843,French Ligue 1,Montpellier,Auxerre,53.1,50.58,0.481,0.2694,0.2496,1.65,1.18,43.1,41.7,1.0,2.0,0.8,1.14,1.69,0.49,1.05,2.1
3120,2022,2022-08-21,1843,French Ligue 1,Clermont Foot,Nice,51.9,63.79,0.3432,0.3869,0.2699,1.25,1.35,36.0,20.5,1.0,0.0,0.78,1.96,0.62,1.21,1.05,0.0
3121,2022,2022-08-21,1843,French Ligue 1,Angers,Brest,57.05,54.77,0.4637,0.2728,0.2635,1.51,1.09,36.6,36.3,1.0,3.0,1.16,2.17,0.53,1.13,1.05,2.73
3122,2022,2022-08-21,2411,Barclays Premier League,Leeds United,Chelsea,62.13,85.83,0.1707,0.6234,0.206,0.96,2.04,31.2,54.7,3.0,0.0,2.09,0.73,0.83,1.25,3.15,0.0
3124,2022,2022-08-21,1843,French Ligue 1,Toulouse,Lorient,55.27,54.58,0.456,0.2654,0.2786,1.38,0.99,36.8,35.4,2.0,2.0,2.82,3.27,1.93,0.98,2.1,2.1
3125,2022,2022-08-21,2411,Barclays Premier League,West Ham United,Brighton and Hove Albion,69.47,74.79,0.3639,0.3697,0.2663,1.26,1.27,24.3,38.4,0.0,2.0,0.79,1.69,1.42,0.95,0.0,2.1
3128,2022,2022-08-21,1845,German Bundesliga,Eintracht Frankfurt,FC Cologne,66.4,70.19,0.3822,0.3466,0.2712,1.4,1.32,25.3,47.2,1.0,1.0,0.51,0.28,1.55,0.74,1.05,1.05
3138,2022,2022-08-21,1843,French Ligue 1,Stade Rennes,AC Ajaccio,70.73,51.82,0.6584,0.1331,0.2085,2.0,0.77,41.9,36.4,2.0,1.0,1.01,1.48,1.28,0.75,2.1,1.05
3139,2022,2022-08-21,1845,German Bundesliga,VfL Bochum,Bayern Munich,59.7,92.31,0.0925,0.7593,0.1482,0.9,2.8,35.0,50.1,0.0,7.0,0.92,3.99,1.09,2.77,0.0,7.2
3144,2022,2022-08-21,2411,Barclays Premier League,Newcastle,Manchester City,70.07,92.86,0.12,0.6966,0.1834,0.78,2.19,25.8,67.6,3.0,3.0,2.13,4.12,1.43,2.12,3.15,3.15
3145,2022,2022-08-21,1869,Spanish Primera Division,Athletic Bilbao,Valencia,72.47,68.54,0.4836,0.2315,0.2849,1.44,0.91,36.7,31.9,1.0,0.0,0.75,0.97,1.12,2.02,1.05,0.0
3153,2022,2022-08-21,1854,Italy Serie A,Napoli,Monza,76.49,52.08,0.7164,0.0989,0.1847,2.19,0.67,62.3,28.9,4.0,0.0,3.29,0.16,1.99,0.37,3.68,0.0
3155,2022,2022-08-21,1854,Italy Serie A,Empoli,Fiorentina,49.92,67.19,0.2523,0.499,0.2487,1.14,1.7,34.8,44.0,0.0,0.0,0.74,1.07,0.55,1.72,0.0,0.0
3162,2022,2022-08-21,1869,Spanish Primera Division,Atletico Madrid,Villarreal,81.15,77.97,0.4833,0.2562,0.2604,1.65,1.14,65.4,62.5,0.0,2.0,2.08,2.37,1.42,0.99,0.0,1.47
3167,2022,2022-08-21,1843,French Ligue 1,Lille,Paris Saint-Germain,69.73,89.37,0.1953,0.5936,0.2111,1.13,2.11,51.5,61.3,1.0,7.0,1.75,4.41,1.02,3.49,1.05,6.92
3169,2022,2022-08-21,1854,Italy Serie A,Atalanta,AC Milan,73.34,77.99,0.3748,0.363,0.2623,1.41,1.38,68.4,61.0,1.0,1.0,0.49,1.68,0.86,1.7,1.05,1.05
3172,2022,2022-08-21,1854,Italy Serie A,Bologna,Verona,56.85,59.75,0.3958,0.3371,0.2671,1.41,1.28,27.0,18.2,1.0,1.0,1.13,2.43,1.14,1.45,1.05,1.05
3180,2022,2022-08-21,1869,Spanish Primera Division,Real Sociedad,Barcelona,75.99,84.12,0.3282,0.399,0.2728,1.28,1.44,58.0,60.3,1.0,4.0,0.76,2.12,0.87,2.02,1.05,3.99
3197,2022,2022-08-22,1854,Italy Serie A,AS Roma,Cremonese,73.45,49.24,0.6903,0.101,0.2087,1.93,0.58,61.1,33.3,1.0,0.0,3.43,0.69,2.2,1.21,1.05,0.0
3203,2022,2022-08-22,1869,Spanish Primera Division,Elche,Almeria,57.96,59.96,0.4226,0.2957,0.2816,1.41,1.13,39.2,33.0,1.0,1.0,1.02,1.0,1.41,1.13,1.05,1.05
3205,2022,2022-08-22,1854,Italy Serie A,Sampdoria,Juventus,52.7,70.3,0.2378,0.5059,0.2563,1.03,1.63,34.3,49.6,0.0,0.0,0.87,0.55,0.62,0.65,0.0,0.0
3207,2022,2022-08-22,2411,Barclays Premier League,Manchester United,Liverpool,73.33,89.33,0.2159,0.5746,0.2094,1.19,2.06,32.0,47.5,2.0,1.0,1.59,1.66,1.57,3.07,2.1,1.05
