,match_id,date,referee,variable,value,venue,team_id,team_name,team_lineup
808,3905428,2022-09-04 09:30:00,Nico Gianforte,xGOT_for,1.52,H,9956,Grasshopper,4 - 5 - 1
833,3905413,2022-09-11 07:15:00,Fedayi San,xG_for,0.75,H,9777,Servette,4 - 3 - 3
834,3905413,2022-09-11 07:15:00,Fedayi San,xGOT_for,1.80,H,9777,Servette,4 - 3 - 3
859,3905410,2022-09-11 09:30:00,Sven Wolfensberger,xG_for,2.43,H,10192,Young Boys,4 - 3 - 1 - 2
860,3905410,2022-09-11 09:30:00,Sven Wolfensberger,xGOT_for,3.00,H,10192,Young Boys,4 - 3 - 1 - 2
885,3905427,2022-09-04 09:30:00,Fedayi San,xG_for,0.97,H,10190,St. Gallen,4 - 3 - 1 - 2
886,3905427,2022-09-04 09:30:00,Fedayi San,xGOT_for,1.79,H,10190,St. Gallen,4 - 3 - 1 - 2
911,3905426,2022-09-10 11:00:00,Luca Cibelli,xG_for,0.58,H,10190,St. Gallen,4 - 3 - 1 - 2
912,3905426,2022-09-10 11:00:00,Luca Cibelli,xGOT_for,0.19,H,10190,St. Gallen,4 - 3 - 1 - 2
937,3905412,2022-09-10 13:30:00,Johannes von Mandach,xG_for,0.52,H,7894,Winterthur,3 - 5 - 1 - 1
938,3905412,2022-09-10 13:30:00,Johannes von Mandach,xGOT_for,0.13,H,7894,Winterthur,3 - 5 - 1 - 1
963,3905441,2022-09-04 07:15:00,Urs Schnyder,xG_for,2.02,H,10199,Luzern,4 - 1 - 2 - 1 - 2
964,3905441,2022-09-04 07:15:00,Urs Schnyder,xGOT_for,0.26,H,10199,Luzern,4 - 1 - 2 - 1 - 2
989,3905411,2022-09-11 09:30:00,Alain Bieri,xG_for,3.77,H,9931,Basel,4 - 3 - 3
990,3905411,2022-09-11 09:30:00,Alain Bieri,xGOT_for,4.14,H,9931,Basel,4 - 3 - 3
1015,3905399,2022-07-17 09:30:00,Lukas Fähndrich,xG_for,1.07,A,10190,St. Gallen,4 - 1 - 2 - 1 - 2
1016,3905399,2022-07-17 09:30:00,Lukas Fähndrich,xGOT_for,0.33,A,10190,St. Gallen,4 - 1 - 2 - 1 - 2
1041,3905400,2022-07-17 09:30:00,Fedayi San,xG_for,1.94,A,10179,Sion,4 - 3 - 1 - 2
1042,3905400,2022-07-17 09:30:00,Fedayi San,xGOT_for,2.38,A,10179,Sion,4 - 3 - 1 - 2
1067,3905394,2022-07-24 09:30:00,,xG_for,1.46,A,7896,Lugano,3 - 4 - 2 - 1
1068,3905394,2022-07-24 09:30:00,,xGOT_for,1.50,A,7896,Lugano,3 - 4 - 2 - 1
1093,3905393,2022-07-16 11:00:00,Sandro Schärer,xG_for,1.83,A,10243,FC Zürich,3 - 4 - 1 - 2
