,playerId,playerName,minutes,fouls_commited,fouls_won,yc,rc,ycrc,minutes_90,fouls_per_90,cards,cards_per_fouls
41,194165,Harry Kane,3232,42,54,5,0,0,35.91111111111111,1.1695544554455446,5,0.11904761904761904
42,196169,Marcos Alonso,2172,25,28,8,0,0,24.133333333333333,1.0359116022099448,8,0.32
43,198510,Wilfried Zaha,2761,37,101,4,0,1,30.677777777777777,1.206084751901485,6,0.16216216216216217
44,201664,Nathan Redmond,1833,16,15,0,0,0,20.366666666666667,0.7855973813420621,0,0.0
45,202180,Grant Hanley,2899,22,22,2,0,0,32.21111111111111,0.6829941359089342,2,0.09090909090909091
46,207236,Granit Xhaka,2331,29,19,10,1,0,25.9,1.1196911196911197,12,0.41379310344827586
47,210111,Lucas Digne,2442,33,25,6,0,0,27.133333333333333,1.2162162162162162,6,0.18181818181818182
48,210128,Nampalys Mendy,1033,17,18,3,0,0,11.477777777777778,1.4811229428848016,3,0.17647058823529413
49,212470,Oriol Romeu,2895,46,24,9,0,0,32.166666666666664,1.4300518134715028,9,0.1956521739130435
50,212867,Heung-Min Son,3019,14,36,2,0,0,33.544444444444444,0.41735674064259687,2,0.14285714285714285
51,214426,Danny Ings,1904,16,12,4,0,0,21.155555555555555,0.7563025210084033,4,0.25
52,214570,Jeffrey Schlupp,1846,26,22,1,0,0,20.511111111111113,1.2676056338028168,1,0.038461538461538464
53,215299,Lucas Moura,1772,20,37,4,0,0,19.68888888888889,1.0158013544018059,4,0.2
54,23354,Ashley Young,1240,16,33,2,0,0,13.777777777777779,1.161290322580645,2,0.125
55,239219,Mateo Kovacic,1556,24,20,4,0,0,17.288888888888888,1.3881748071979436,4,0.16666666666666666
56,243138,James Tarkowski,3107,30,19,11,0,0,34.522222222222226,0.8690054715159317,11,0.36666666666666664
57,246575,Raheem Sterling,2127,19,37,1,0,0,23.633333333333333,0.8039492242595204,1,0.05263157894736842
58,247761,Conor Coady,3363,20,1,5,0,0,37.36666666666667,0.5352363960749331,5,0.25
59,248453,Paul Pogba,1354,39,29,7,1,0,15.044444444444444,2.5923190546528803,9,0.23076923076923078
60,255610,Harry Maguire,2514,21,19,7,0,1,27.933333333333334,0.7517899761336515,9,0.42857142857142855
61,258269,Victor Nilsson Lindelöf,2355,19,6,4,0,0,26.166666666666668,0.7261146496815286,4,0.21052631578947367
62,259306,Emil Krafth,1635,22,11,5,0,0,18.166666666666668,1.2110091743119265,5,0.22727272727272727
63,261936,Mohamed Elyounoussi,2042,28,18,4,0,0,22.68888888888889,1.2340842311459352,4,0.14285714285714285
64,266146,Stuart Dallas,2922,33,30,5,0,0,32.46666666666667,1.0164271047227926,5,0.15151515151515152
65,266520,Christian Nørgaard,3059,56,33,8,0,0,33.98888888888889,1.6475972540045767,8,0.14285714285714285
66,266523,Pierre-Emile Højbjerg,3198,28,39,3,0,0,35.53333333333333,0.7879924953095685,3,0.10714285714285714
67,276121,Ben Davies,2539,31,18,6,0,0,28.211111111111112,1.0988578180385977,6,0.1935483870967742
68,276738,Antonio Rüdiger,3035,35,12,9,0,0,33.72222222222222,1.0378912685337727,9,0.2571428571428571
69,279489,Jamaal Lascelles,2055,17,4,5,0,0,22.833333333333332,0.7445255474452556,5,0.29411764705882354
70,279490,James Ward-Prowse,3217,22,15,3,1,0,35.74444444444445,0.615480261112838,5,0.22727272727272727
71,282775, Jorginho,2278,30,38,5,0,0,25.31111111111111,1.1852502194907815,5,0.16666666666666666
72,28901,James McArthur,1436,24,20,4,0,0,15.955555555555556,1.5041782729805013,4,0.16666666666666666
73,289137,Charlie Taylor,2730,17,43,3,0,0,30.333333333333332,0.5604395604395604,3,0.17647058823529413
74,290410,Michael Keane,2792,16,7,2,0,1,31.022222222222222,0.5157593123209169,4,0.25
75,292313,Raul Jiménez,2637,43,48,5,0,2,29.3,1.4675767918088738,9,0.20930232558139536
76,292678,Romain Saiss,2708,30,15,6,0,0,30.08888888888889,0.9970457902511078,6,0.2
77,295067,Will Hughes,1058,18,17,6,0,0,11.755555555555556,1.5311909262759924,6,0.3333333333333333
78,303339,Sadio Mané,2824,50,50,5,0,0,31.377777777777776,1.593484419263456,5,0.1
79,303346,Adam Webster,1431,16,4,5,0,0,15.9,1.0062893081761006,5,0.3125
80,304014,Fernando Marcal,1453,29,9,3,0,0,16.144444444444446,1.7962835512732276,3,0.10344827586206896
81,304455,Joel Veltman,2881,39,38,6,0,0,32.01111111111111,1.218326969802152,6,0.15384615384615385
82,307317,Vladimir Coufal,2211,29,15,3,0,1,24.566666666666666,1.180461329715061,5,0.1724137931034483
83,30893,Cristiano Ronaldo,2458,16,18,8,0,0,27.31111111111111,0.5858421480878764,8,0.5
84,30895,Aaron Lennon,1548,19,20,2,0,0,17.2,1.1046511627906976,2,0.10526315789473684
85,312765,Jack Grealish,1917,17,55,3,0,0,21.3,0.7981220657276995,3,0.17647058823529413
86,318615,Leandro Trossard,2810,24,26,2,0,0,31.22222222222222,0.7686832740213523,2,0.08333333333333333
