,match_id,date,referee,variable,value,venue,team_id,team_name,team_lineup
64,3916405,2022-08-13 09:00:00,David Rock,xG_for,0.98,H,10007,Stockport County,3 - 4 - 2 - 1
65,3916405,2022-08-13 09:00:00,David Rock,xG_ag,0.06,H,10007,Stockport County,3 - 4 - 2 - 1
66,3916398,2022-08-13 09:00:00,Andy Davies,xG_for,0.7,H,158316,Sutton United,4 - 4 - 2
67,3916398,2022-08-13 09:00:00,Andy Davies,xG_ag,0.57,H,158316,Sutton United,4 - 4 - 2
68,3916422,2022-08-16 13:45:00,Andy Haines,xG_for,0.5,H,6350,Barrow,4 - 3 - 3
69,3916422,2022-08-16 13:45:00,Andy Haines,xG_ag,0.73,H,6350,Barrow,4 - 3 - 3
70,3916423,2022-08-13 09:00:00,Charles Breakspear,xG_for,0.47,H,10006,Walsall,3 - 4 - 1 - 2
71,3916423,2022-08-13 09:00:00,Charles Breakspear,xG_ag,0.65,H,10006,Walsall,3 - 4 - 1 - 2
72,3916404,2022-08-13 09:00:00,Scott Oldham,xG_for,0.88,H,8313,Tranmere Rovers,3 - 5 - 2
73,3916404,2022-08-13 09:00:00,Scott Oldham,xG_ag,0.78,H,8313,Tranmere Rovers,3 - 5 - 2
74,3916420,2022-08-16 13:45:00,Steve Martin,xG_for,0.7,H,8647,Crawley Town,3 - 4 - 3
75,3916420,2022-08-16 13:45:00,Steve Martin,xG_ag,0.52,H,8647,Crawley Town,3 - 4 - 3
76,3916421,2022-08-16 13:45:00,Carl Brook,xG_for,0.56,H,8416,Colchester United,4 - 1 - 4 - 1
77,3916421,2022-08-16 13:45:00,Carl Brook,xG_ag,1.11,H,8416,Colchester United,4 - 1 - 4 - 1
78,3916419,2022-08-16 13:45:00,Thomas Parsons,xG_for,0.54,H,9784,Crewe Alexandra,4 - 2 - 3 - 1
79,3916419,2022-08-16 13:45:00,Thomas Parsons,xG_ag,1.2,H,9784,Crewe Alexandra,4 - 2 - 3 - 1
